user_id,full name,email,address,role,birthday,status,phone_number,password,created_date,expirated_date
U001,Joshua Moore,joshua_moore@example.com,"USNV Baldwin
FPO AP 42066",admin,1992-09-06,pending,(302)797-2827,+$AWxDk33z,2020-06-21,2025-01-18
U002,Tiffany Gates,tiffany_gates@example.com,"4247 Jimenez Canyon Suite 176
East Nancy, SD 13728",user,1913-10-04,pending,385-779-4572,p^1MH6ow+9,2025-01-15,2025-05-23
U003,Steven Wang,steven_wang@example.com,"4032 Matthew Stream
New Laura, CO 64178",user,1958-05-27,active,001-761-588-3656x0752,#O9GCpH))C,2024-09-24,2025-01-16
U004,Joshua Smith,joshua_smith@example.com,"52021 Stephanie Mill Apt. 065
North Wesley, NM 92292",admin,1992-07-22,active,001-327-932-1266x2770,Mq2c@KefG&,2023-03-09,2025-03-30
U005,Mr. Joshua Thompson,mr._joshua_thompson@example.com,"59452 Kiara Curve
Matthewstad, WA 81562",manager,1974-08-23,inactive,932-917-1346x932,t4gHPr88)G,2020-07-29,2025-02-11
U006,Keith Le,keith_le@example.com,"8434 Craig Lights Suite 332
Brownside, ND 37618",manager,1996-03-20,active,(691)595-7706x015,OlZQeJb@&0,2020-04-11,2025-02-19
U007,Mr. Matthew Ashley,mr._matthew_ashley@example.com,"4359 Gregory Views Suite 514
Woodborough, DE 50308",user,1981-05-21,active,(694)228-0555,+vfo2KVn6D,2021-07-16,2025-04-10
U008,Rebecca Cline,rebecca_cline@example.com,"3064 Tucker Heights
Westmouth, OH 01116",user,1972-07-29,inactive,249.551.8087,^5&3EKcRwd,2020-01-24,2025-03-10
U009,Beth Patterson,beth_patterson@example.com,"962 Ryan Alley
Allenchester, WI 41745",admin,2006-04-28,active,(957)998-7041x904,^2c)Lkn+hR,2022-04-30,2025-03-06
U010,Hannah Crawford,hannah_crawford@example.com,"480 Stephanie Forge
New Stephanieborough, MN 91786",admin,2014-01-25,active,+1-262-684-3524x975,0tREJzlW$5,2021-04-05,2025-01-31
U011,Chelsey Padilla,chelsey_padilla@example.com,"747 Li Bypass Apt. 118
Lake Nicholas, VA 35404",admin,1963-01-01,active,945-232-5703x8967,&FK@1SUlcQ,2020-02-24,2025-05-29
U012,Thomas Webster,thomas_webster@example.com,"759 Jasmine Ramp Suite 075
North Rachel, MD 54920",manager,1913-10-24,pending,2798172512,#3R*QcjDcQ,2020-07-15,2025-02-11
U013,Kyle Robertson,kyle_robertson@example.com,"57357 Felicia Roads Suite 283
New Beverlyborough, NY 34492",user,2001-01-15,pending,(396)491-9092x03327,))4E6YZ&x7,2020-02-03,2025-01-02
U014,Michael Sharp,michael_sharp@example.com,"0075 Julia Expressway
New Stevenfort, MA 25054",admin,2014-08-24,inactive,(866)594-5519,*9AgLUDn_h,2020-03-02,2025-06-02
U015,Billy Stewart,billy_stewart@example.com,"60352 Ferguson Lights Apt. 608
Escobarview, NJ 14014",admin,2005-09-03,active,(655)327-9590,mpX3JBzXl@,2024-06-05,2025-01-30
U016,Gary Foster,gary_foster@example.com,"1183 Yolanda Lodge Suite 836
Kevinton, NJ 32181",manager,1993-05-10,active,668-476-4837x883,4)ED4Fdo1&,2020-03-09,2025-04-14
U017,Dr. Suzanne Bennett MD,dr._suzanne_bennett_md@example.com,"252 Rodriguez Islands Apt. 249
Murphymouth, VI 35757",manager,2006-06-13,inactive,+1-564-798-2173,e6vFSU%H$@,2022-11-14,2025-05-23
U018,Tyler Robinson,tyler_robinson@example.com,"19289 Laura Ridge Suite 808
Port Rebecca, AS 44771",admin,1991-05-15,inactive,7354962757,+5!3HEVz7#,2021-07-28,2025-04-21
U019,Thomas Carter,thomas_carter@example.com,"6010 Willie Summit
East Gregoryberg, ME 54040",user,1939-01-02,active,770.490.1810,sP%1HGOf!%,2024-10-11,2025-02-27
U020,Shane Wright,shane_wright@example.com,"4506 Murray Corners
Port Casey, ID 94700",user,1991-11-17,pending,795-809-2164x986,%o@LqgoIP9,2022-01-06,2025-01-07
U021,Melissa Martinez,melissa_martinez@example.com,"4315 Bishop Ville Suite 751
Paulchester, GU 04697",admin,1920-12-31,active,613.389.6121x71724,D@1OhObc*_,2022-08-24,2025-04-24
